,date,ip属地,评分,comments
10,2023-03-23,甘肃,5,水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。”从古至今，有很多文人墨客都写诗赞颂过西湖美丽的山水。西湖值得一游！
11,2023-03-17,上海,5,【景色】喜欢西湖景色，喜欢在西湖边坐坐，喜欢西湖翠绿杨柳，喜欢西湖美食，喜欢西湖苏堤，白堤，喜欢西湖曲院风荷，喜欢西湖春夏秋冬！
12,2023-05-01,福建,5,怎么走都不会腻的地方，湖光山色，微风不燥，游人如梭。人说上有天堂，下有苏杭，西湖一年四季都有它不同的独特的美景，确实名不虚传。
13,2023-03-16,浙江,5,前几天住在西湖边上的马可波罗假日酒店，市西湖只有三百米左右游玩了西湖景点，湖滨、断桥、白堤、楼外楼、苏堤等
14,2023-01-27,浙江,5,西湖很美，春节期间人是真的多，三谭印月人进去回来做船就花排了半天队。雷峰塔已经翻修过了，里面已经装上了电梯。除了最后一层外都是可以做电梯上去的。
15,2023-04-22,上海,5,围绕着西湖骑行其实是一件挺惬意的事情，因为景区很大，其实骑行比打车更便捷。乘船游湖还是值得一试的，有固定的码头，也很方便。
16,2023-04-17,河北,5,有机会一定要来西湖走一走，景色非常秀美，而且杭州绝对是个来了不想走，走了还想来德城市，出差路过贵宝地，下次一定彻底玩一玩，
17,2023-03-16,甘肃,5,杭州西湖，位于中国浙江省杭州市西湖区龙井路1号，在市区西部，西湖景区总面积49平方千米，汇水面积为21.22平方千米，湖面面积为6.38平方千米。杭州西湖风景名胜区被评为“国家AAAAA级旅游景区；旅游的朋友们一定要去西湖参观游玩观景啊～很美很美的！
18,2023-03-12,浙江,5,西湖最好是找晴天去的话会好一些，西湖落日太美了。大部分景点在3月31日前是免费的，除了雷峰塔还是要40元一个人，学生票半价，坐游船的话我坐的是大船，感觉还挺好的，有导游会在船上讲解。我是坐船到三潭印月岛，拍了一元钱背后的三潭印月。西湖好大，大家去的话一定要穿舒适的鞋子，不然会很累，完全走下来要一天时间
19,2023-03-11,天津,5,从一公园出发，一路走走走，中间有几站坐了公交游船，几个小时候转到南边，在花港观鱼站下船走一段苏堤，就来到雷峰塔脚下。雷峰塔重建以后，里面安装了电梯，非常巧妙，可以先在下面看遗址，排队坐电梯上塔观风景，可以俯瞰西湖全貌。只是天气比较阴，拍的图片一般，但旅行的意义还是更在于过程。非常值得一去
20,2022-12-11,浙江,5,出地铁周边都是商圈网红打卡地。 好多漂亮的小哥哥小姐姐哦。 现代繁华和西湖的灵气秀美融合在一起非常互补，相得益彰。 周末的夜晚一波波学生在湖边唱歌。不是带音响那种卖唱。湖边有管制，不准卖唱，会有城管干涉。就只是弹个吉他敲个鼓，不用话筒的肉嗓纯唱。湖边席地而坐。周围围了一堆青少年及文艺青年，没有任何收费项目，就一起唱歌，开心。保安看围了一群人，但没有收费，纯肉声也够不成噪音扰民，只是看了一眼就走了。着实是一股清流啊。从下午六点唱到凌晨场子一点也没有冷清，就像老朋友一样围在一起。可见那些少年是真的热爱，难能可贵的纯粹。杭州好玩的地方还是不少的。西湖是必打卡圣地。不能错过哦！很棒！
21,2023-04-29,北京,5,烟花三月，翠柳依依…西湖之畔，已是春意盎然！！一家三口，循堤而行，春日暖阳，身心愉悦… 五一劳动节期间，游人如织，万头攒动… 2023年，正是万业复苏之中……☘️
22,2023-04-13,天津,5,【趣味】西湖是寂静的。我们的小车绕着西湖缓缓地移动着。西湖的水面是平静、洁白无瑕、一尘不染的。几粒小舟在湖面上行进，留下的就是斑斓多姿的长痕荡漾开去。 【性价比】 性价比高，很值得推荐
23,2023-04-29,浙江,5,相比于光秃秃的西湖，这个小岛上的景色算是很丰富了，要是时间充足等得起排队上船还是值得来看看的 哦对了，西南角的那条航线，能在途中看见跟一元纸币背面西湖一样的景观（我忘了那个叫啥了）
24,2023-03-29,山东,5,杭州西湖的春天景色太美了，湖边的条条垂柳都长出了绿叶，随风飘扬，湖边的桃花，樱花也相继开放，游客也越来越多了，不冷不热，现在旅游非常舒服。
25,2023-04-16,贵州,5,4月14号这一周，西湖这里有太多人了，灵隐寺更是人山人海！不过，看着经济慢慢复苏，还是很开心的+
26,2023-04-05,江苏,5,环境很好，西湖周围一圈都很漂亮，因为时间原因没有走完苏堤，只到游船码头就乘船去三潭映月登岛游玩了，风景十分美好，去的时候刚好细雨蒙蒙的，在景区里面买了一件雨衣用着很方便！
27,2023-01-29,湖北,5,西湖边的那家星巴克听说要搬家了，赶紧去打个卡！就是石函公馆的小楼，坐在二楼露台可以看到西湖，风景很美，可以发呆一整个下午！夜晚的西湖雾蒙蒙的，美！
28,2023-05-04,重庆,5,杭州西湖位于市区，其南、西、北三面环山，东邻城区，南部和钱塘江隔山相邻，湖中白堤、苏堤、杨公堤、赵公堤将湖面分割成若干水面，湖中有三岛，西湖群山以西湖为中心。
29,2023-04-16,广东,5,5 A景点，杭州乃至国际友人盛名的旅游胜地，可先坐西湖内外环绕湖一圈，着重选几个点再去慢游一下，午后西湖边茶馆叹下龙井新茶，下雨时烟雨江南韵味更值得慢悠悠赏玩！
30,2023-02-28,上海,5,一直觉得杭州人民非常幸福，因为杭州人民拥有美丽的西湖，苏东坡的“欲把西湖比西子，浓妆淡抹总相宜”是对西湖最最精确的描述，无论白天还是黑夜，西湖总会让你迷醉。
31,2023-04-01,湖南,5,这次深度游玩西湖，感觉景色优美，景区管理很好，杭州人素质高，特别是西湖不收门票的，杭州政府大气！在这里比南京更舒心，周边的酒家也很棒，味道好价钱实惠不欺客
32,2023-05-06,上海,5,湖光山色非常惬意的乘船之旅，很舒服，可惜船屁股不够大，只能坐六个人，没抢到绝佳的观景台，但游岛的过程也是不错了，天气又好，不晒，气温还合适，真是有福了。
33,2023-04-12,浙江,5,【景色】西湖美景三月天，来杭州怎么能不到西湖转转，看一场西湖边的日落，心都静下来了，鸟语花香，四季景色各不同，春天西湖边的花陆续开放，来张美美的照片吧
34,2023-01-20,江苏,5,西湖美不美？值不值得去？看了图片再说！好一副湖景图、无边无际，对着图心胸也开阔了！湖边都是踏着步、散着心看湖的人。儿子说，好大啊！比想象中大多了……
35,2023-04-07,江苏,4,一句春不晚 我就到了江南 西湖素有天堂之美誉 除了著名的西湖十景 西湖游船 环湖路一圈的商业区一如十年前的繁盛 但是疫情放开之后人实在是太多了 严重影响游玩体验
36,2023-03-11,上海,5,去杭州总归会去西湖，在湖边走走看看，发发呆很舒服。杭州许多景点都在西湖边，所以到杭州旅游一点也不累。还有杭州的美食也好吃，又便宜，真是个好地方……
37,2023-02-27,江苏,5,【景色】西湖的景色非常优美 作为杭州市5a级景区 ，这里是名副其实的漂亮 ，确实 真的美丽 【趣味】这里有着非比寻常的文化意义 【性价比】由于免费的所以很合适
38,2023-03-06,山东,5,初春也是西湖最美的季节，这个时候来这里游玩，温度适宜，景色秀丽，鲜花满园，清风拂面，湖水荡漾，好一派诗情画意，人与自然和谐共生。心情非常舒畅。
39,2023-05-10,浙江,5,杭州五日游，第一天西湖游，环境优美，游船舒适，景色宜人，带着小朋友过来非常兴奋，对西湖里面的一切事物都很感兴趣，人家天堂，唯有苏杭，这话不假
40,2023-04-11,广东,5,西湖景色秀美，一年四季都有不同美景，而且一步一景，处处好风光！春天的海棠、桃花，夏天的曲院风荷，雷峰塔，夕阳夕照，冬天的断桥残雪，美不胜收！
41,2023-02-15,吉林,5,人生必去的一大景点，白天、晚上各有妙处，来了就不想走的地方！
42,2023-03-09,浙江,5,大美西湖，风光无限，断桥之上，遥思许仙
43,2023-04-17,广东,5,在最美的时节遇到最美的西湖，刚到湖边的时候小雨，恰好应了烟雾迷蒙的水墨画效果。湖边的柳树冒出新芽，桃花笑着春风，令人流连忘返，沉醉其中！
44,2023-01-25,上海,5,这是全国最早执行5A景区免门票的地方，不管是春夏秋冬西湖也都是游人如织。苏轼的《若把西湖比西子，淡状浓抹总相宜。》更是写出了西湖的韵味。
45,2023-03-29,浙江,4,喜欢杭州的西湖，尤其是晚上，曾经的西湖，也是一到晚上就乌漆麻黑的，现在么，星星点点的灯光点缀着，好看了许多许多。 尤其是步行街上的各色霓虹灯一照耀，好看😊
46,2023-03-18,上海,4,跑到杭州去旅游，肯定是要去西湖兜一圈的，那天虽然是个阴天，但是运气很好，居然在西湖里面还看见好几只游泳的鸭子呢，他们逍遥自在，好不快活。再过个几十年就能成精幻化成人形了吧哈哈
47,2023-05-04,河南,5,中国最热门的免费风景区，到杭州的必定打卡之地。西湖十景确实很美，令人流连忘返哦！才子佳人，风花雪月，浓妆淡抹，能满足所有游客的需求。
48,2023-04-28,浙江,5,无与伦比的超级好，风景，大树，西湖，气候，都是超级棒
49,2023-04-15,浙江,5,【景色】湖光山色，景色迷人 【趣味】很休闲， 【性价比】免费，不需要门票，性价比很高 强烈推荐，到杭州放松好地方，值得打卡，就是人多。。。
