,date,ip属地,评分,comments
10,2024-02-11,上海,5,如果没有来过杭州西湖的小伙伴可以去乘个船上个岛，现在冬天，岛上可能会觉得有点冷，但是风景还是很不错的。标志性的三潭印月其实是在岛的外围，有好多鸟停在三潭上面，生态很好的样子。钱王祠码头上来，左边走过去不远处就是一个很好的观景点。大家第一个登岛打卡的也是那里。岛上是个田字型的布景，走走拍拍还是很不错的。
11,2024-02-15,河北,5,欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西
12,2024-01-01,浙江,5,船很大，稳，！体验感非常棒，来回的游船+登岛的门票，很划算，游船的工作人员讲解也很详细，岛上从湖滨码头返回就是市区，很方便!园林景观非常美，秋色尽收眼底!会推荐家人朋友来坐西湖游船!
13,2024-02-12,浙江,5,来杭州了，总是要去一次西湖吧，吹一吹西湖的晚风，走一走当年的断桥，坐一坐游船，瞅一瞅三潭印月。但是人是真的多，西湖附近单双号限行，停车要排队😵‍💫😵‍💫😵‍💫
14,2024-01-17,浙江,5,太赞了👍主要就是当我在三潭印月岛游玩的时候突然收到工作上的通知，呜呜呜………还有西湖这边好多地方也没逛完，就急急忙忙赶回去了 真的很值得带家人朋友一起来游玩
15,2024-01-28,江苏,5,这次旅行真的很棒🎉！ 在雷峰塔看到了西湖全景非常美丽，而且我们的导游非常的专业，用其丰富的专业知识和历史背景给我们带来了精彩地解说，为大壮导游点赞👍！
16,2024-02-21,广西,5,雨天去的，游客也很多，上船得排队，还好排队的时间没有太长，也建有廊子可以避雨。分段乘坐的，可以选择不同的路线走，一定要做好攻略看看自己要去玩哪些景点。
17,2024-03-03,北京,5,导游热情周到，西湖秘境也是别有一番风味，和大西湖风格完全不同，静谧的氛围加上人少多植被，有一种神秘且雅致的感觉。非常值得购买体验。
18,2024-03-02,浙江,5,接近四点才到花港码头，赶着最后一班回钱王祠码头。 实话说，觉得岛上没有太大的趣味，离三潭印月还是有一段距离的，坐摇橹船会近很多。
19,2024-02-18,浙江,4,今天天气很好，西湖景色怡人。拍照很出片。第一天坐的穿上岛看了三潭印月，结果狂风大作加暴雨，体验感不佳，今天逛完钱王祠，看西湖水很看，又做了个穿看三潭印月果然好看多了，谁说晴西湖不如雨西湖的，我还是喜欢晴天，蓝天白云绿水杨柳堤。不过现在杨柳未发芽。荷花杆杆光秃秃，没有赏到极佳景色，希望有机会再来一次。
20,2024-02-11,上海,5,如果没有来过杭州西湖的小伙伴可以去乘个船上个岛，现在冬天，岛上可能会觉得有点冷，但是风景还是很不错的。标志性的三潭印月其实是在岛的外围，有好多鸟停在三潭上面，生态很好的样子。钱王祠码头上来，左边走过去不远处就是一个很好的观景点。大家第一个登岛打卡的也是那里。岛上是个田字型的布景，走走拍拍还是很不错的。
21,2024-02-15,河北,5,欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西
22,2024-01-01,浙江,5,船很大，稳，！体验感非常棒，来回的游船+登岛的门票，很划算，游船的工作人员讲解也很详细，岛上从湖滨码头返回就是市区，很方便!园林景观非常美，秋色尽收眼底!会推荐家人朋友来坐西湖游船!
23,2024-02-12,浙江,5,来杭州了，总是要去一次西湖吧，吹一吹西湖的晚风，走一走当年的断桥，坐一坐游船，瞅一瞅三潭印月。但是人是真的多，西湖附近单双号限行，停车要排队😵‍💫😵‍💫😵‍💫
24,2024-01-17,浙江,5,太赞了👍主要就是当我在三潭印月岛游玩的时候突然收到工作上的通知，呜呜呜………还有西湖这边好多地方也没逛完，就急急忙忙赶回去了 真的很值得带家人朋友一起来游玩
25,2024-01-28,江苏,5,这次旅行真的很棒🎉！ 在雷峰塔看到了西湖全景非常美丽，而且我们的导游非常的专业，用其丰富的专业知识和历史背景给我们带来了精彩地解说，为大壮导游点赞👍！
26,2024-02-21,广西,5,雨天去的，游客也很多，上船得排队，还好排队的时间没有太长，也建有廊子可以避雨。分段乘坐的，可以选择不同的路线走，一定要做好攻略看看自己要去玩哪些景点。
27,2024-03-03,北京,5,导游热情周到，西湖秘境也是别有一番风味，和大西湖风格完全不同，静谧的氛围加上人少多植被，有一种神秘且雅致的感觉。非常值得购买体验。
28,2024-03-02,浙江,5,接近四点才到花港码头，赶着最后一班回钱王祠码头。 实话说，觉得岛上没有太大的趣味，离三潭印月还是有一段距离的，坐摇橹船会近很多。
29,2024-02-18,浙江,4,今天天气很好，西湖景色怡人。拍照很出片。第一天坐的穿上岛看了三潭印月，结果狂风大作加暴雨，体验感不佳，今天逛完钱王祠，看西湖水很看，又做了个穿看三潭印月果然好看多了，谁说晴西湖不如雨西湖的，我还是喜欢晴天，蓝天白云绿水杨柳堤。不过现在杨柳未发芽。荷花杆杆光秃秃，没有赏到极佳景色，希望有机会再来一次。
30,2024-02-11,上海,5,如果没有来过杭州西湖的小伙伴可以去乘个船上个岛，现在冬天，岛上可能会觉得有点冷，但是风景还是很不错的。标志性的三潭印月其实是在岛的外围，有好多鸟停在三潭上面，生态很好的样子。钱王祠码头上来，左边走过去不远处就是一个很好的观景点。大家第一个登岛打卡的也是那里。岛上是个田字型的布景，走走拍拍还是很不错的。
31,2024-02-15,河北,5,欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西
32,2024-01-01,浙江,5,船很大，稳，！体验感非常棒，来回的游船+登岛的门票，很划算，游船的工作人员讲解也很详细，岛上从湖滨码头返回就是市区，很方便!园林景观非常美，秋色尽收眼底!会推荐家人朋友来坐西湖游船!
33,2024-02-12,浙江,5,来杭州了，总是要去一次西湖吧，吹一吹西湖的晚风，走一走当年的断桥，坐一坐游船，瞅一瞅三潭印月。但是人是真的多，西湖附近单双号限行，停车要排队😵‍💫😵‍💫😵‍💫
34,2024-01-17,浙江,5,太赞了👍主要就是当我在三潭印月岛游玩的时候突然收到工作上的通知，呜呜呜………还有西湖这边好多地方也没逛完，就急急忙忙赶回去了 真的很值得带家人朋友一起来游玩
35,2024-01-28,江苏,5,这次旅行真的很棒🎉！ 在雷峰塔看到了西湖全景非常美丽，而且我们的导游非常的专业，用其丰富的专业知识和历史背景给我们带来了精彩地解说，为大壮导游点赞👍！
36,2024-02-21,广西,5,雨天去的，游客也很多，上船得排队，还好排队的时间没有太长，也建有廊子可以避雨。分段乘坐的，可以选择不同的路线走，一定要做好攻略看看自己要去玩哪些景点。
37,2024-03-03,北京,5,导游热情周到，西湖秘境也是别有一番风味，和大西湖风格完全不同，静谧的氛围加上人少多植被，有一种神秘且雅致的感觉。非常值得购买体验。
38,2024-03-02,浙江,5,接近四点才到花港码头，赶着最后一班回钱王祠码头。 实话说，觉得岛上没有太大的趣味，离三潭印月还是有一段距离的，坐摇橹船会近很多。
39,2024-02-18,浙江,4,今天天气很好，西湖景色怡人。拍照很出片。第一天坐的穿上岛看了三潭印月，结果狂风大作加暴雨，体验感不佳，今天逛完钱王祠，看西湖水很看，又做了个穿看三潭印月果然好看多了，谁说晴西湖不如雨西湖的，我还是喜欢晴天，蓝天白云绿水杨柳堤。不过现在杨柳未发芽。荷花杆杆光秃秃，没有赏到极佳景色，希望有机会再来一次。
40,2024-02-11,上海,5,如果没有来过杭州西湖的小伙伴可以去乘个船上个岛，现在冬天，岛上可能会觉得有点冷，但是风景还是很不错的。标志性的三潭印月其实是在岛的外围，有好多鸟停在三潭上面，生态很好的样子。钱王祠码头上来，左边走过去不远处就是一个很好的观景点。大家第一个登岛打卡的也是那里。岛上是个田字型的布景，走走拍拍还是很不错的。
41,2024-02-15,河北,5,欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西子，淡妆浓抹总相宜，西湖景色秀丽，每隔几年都会来的，杭州的西湖景区是杭州的著名旅游景点，有很多值得游玩的景点。可以选择性地去一些必打卡的景点，如苏堤春晓、平湖秋月、白堤、雷峰塔等1。建议住宿在龙翔桥、凤起路或定安路附近，交通比较方便2。不建议骑单车和打车游西湖，因为单车骑得会很累，打车会很堵车2。可以选择坐船游览西湖，也可以乘坐观光车游览苏堤-白堤观光区间线 3。如果想徒步游览，可以选择在苏堤站、花港站、岳庙站或曲院风荷站下车步行1。最好在日出日落时刻游玩，可以欣赏到美丽的景色欲把西湖比西
42,2024-01-01,浙江,5,船很大，稳，！体验感非常棒，来回的游船+登岛的门票，很划算，游船的工作人员讲解也很详细，岛上从湖滨码头返回就是市区，很方便!园林景观非常美，秋色尽收眼底!会推荐家人朋友来坐西湖游船!
43,2024-02-12,浙江,5,来杭州了，总是要去一次西湖吧，吹一吹西湖的晚风，走一走当年的断桥，坐一坐游船，瞅一瞅三潭印月。但是人是真的多，西湖附近单双号限行，停车要排队😵‍💫😵‍💫😵‍💫
44,2024-01-17,浙江,5,太赞了👍主要就是当我在三潭印月岛游玩的时候突然收到工作上的通知，呜呜呜………还有西湖这边好多地方也没逛完，就急急忙忙赶回去了 真的很值得带家人朋友一起来游玩
45,2024-01-28,江苏,5,这次旅行真的很棒🎉！ 在雷峰塔看到了西湖全景非常美丽，而且我们的导游非常的专业，用其丰富的专业知识和历史背景给我们带来了精彩地解说，为大壮导游点赞👍！
46,2024-02-21,广西,5,雨天去的，游客也很多，上船得排队，还好排队的时间没有太长，也建有廊子可以避雨。分段乘坐的，可以选择不同的路线走，一定要做好攻略看看自己要去玩哪些景点。
47,2024-03-03,北京,5,导游热情周到，西湖秘境也是别有一番风味，和大西湖风格完全不同，静谧的氛围加上人少多植被，有一种神秘且雅致的感觉。非常值得购买体验。
48,2024-03-02,浙江,5,接近四点才到花港码头，赶着最后一班回钱王祠码头。 实话说，觉得岛上没有太大的趣味，离三潭印月还是有一段距离的，坐摇橹船会近很多。
49,2024-02-18,浙江,4,今天天气很好，西湖景色怡人。拍照很出片。第一天坐的穿上岛看了三潭印月，结果狂风大作加暴雨，体验感不佳，今天逛完钱王祠，看西湖水很看，又做了个穿看三潭印月果然好看多了，谁说晴西湖不如雨西湖的，我还是喜欢晴天，蓝天白云绿水杨柳堤。不过现在杨柳未发芽。荷花杆杆光秃秃，没有赏到极佳景色，希望有机会再来一次。
